dataset,model,sc_method,label,w_baseline,w_platform,w_provider,w_civic,ndcg,platform,provider,civic,jsd_raw,ild_raw,geo_ild_km_raw,poplift_raw,gini_raw,elapsed_s
foursquaretky,LightGCN,borda,random_37,1.0,0.45870639345964936,1.409044319969842,1.1322492865705085,0.08269995978258245,0.9130818884292781,0.9356358251892927,0.308203456125349,0.0869181115707219,0.9356358251892927,3.1126309139270454,0.403165879261617,0.789279968756337,185.25676822662354
foursquaretky,LightGCN,borda,random_38,1.0,0.9125973555395739,0.7967963587281275,1.2906062857322986,0.09679431636893185,0.9022004953191187,0.8996515624422591,0.3955135863916006,0.09779950468088124,0.8996515624422591,2.426259653055508,0.6480010677850646,0.8314579374676109,185.2107458114624
foursquaretky,LightGCN,borda,random_39,1.0,0.4086881768703151,2.367131067255523,0.22418075587416192,0.07162953146982382,0.9286053941167881,0.9656234779653088,0.17227377572460076,0.0713946058832119,0.9656234779653088,5.93556674532032,0.20401038295470794,0.7479738935161888,181.66755032539368
foursquaretky,LightGCN,schulze,corner_platform,1.0,3.0,0.0,0.0,0.10440001612340528,0.972583607247807,0.9014843897192699,0.22544941247075426,0.027416392752192938,0.9014843897192699,4.645408587774408,0.8011559814107153,0.8269766498681909,109.30628442764282
foursquaretky,LightGCN,schulze,corner_provider,1.0,0.0,3.0,0.0,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,109.52115106582642
foursquaretky,LightGCN,schulze,corner_civic,1.0,0.0,0.0,3.0,0.07877306103279562,0.8745327170800211,0.8872801721076706,1.0,0.12546728291997888,0.8872801721076706,0.9025888131995982,0.4209547995422993,0.8160592427918015,109.79899859428406
foursquaretky,LightGCN,schulze,centroid,1.0,1.0,1.0,1.0,0.0994882628105722,0.9299622276168665,0.9080084920725149,0.23287701489069015,0.07003777238313343,0.9080084920725149,4.42695001576966,0.7020318731257431,0.8390407594613473,106.80381464958191
foursquaretky,LightGCN,schulze,random_0,1.0,0.6510370355367876,1.829326183627715,0.5196367808354976,0.0666271114398084,0.9231265071581195,0.9780621428469427,0.14967985929838454,0.07687349284188053,0.9780621428469427,6.887541388234968,0.05008615946709592,0.7004181844127167,113.10173654556274
foursquaretky,LightGCN,schulze,random_1,1.0,1.5212364475792237,0.4961482457115853,0.9826153067091912,0.10989834516558995,0.9695128191419571,0.8993152942936233,0.23104796677616235,0.03048718085804293,0.8993152942936233,4.526757345783733,0.8192436779003672,0.8295427610085094,114.47291707992554
foursquaretky,LightGCN,schulze,random_2,1.0,0.16827235628079754,2.117748232026584,0.7139794116926186,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,114.41219210624695
foursquaretky,LightGCN,schulze,random_3,1.0,0.34544997508882735,0.44132908044285335,2.2132209444683193,0.07877306103279562,0.8745327170800211,0.8872801721076706,1.0,0.12546728291997888,0.8872801721076706,0.9025888131995982,0.4209547995422993,0.8160592427918015,114.53568768501282
foursquaretky,LightGCN,schulze,random_4,1.0,0.7030504688366359,1.5475654977234556,0.7493840334399082,0.09480084152982414,0.9189352552787167,0.921764108165995,0.1999680763793357,0.08106474472128337,0.921764108165995,5.131514978666057,0.5564754235250867,0.8304763907560817,110.80250906944275
foursquaretky,LightGCN,schulze,random_5,1.0,2.1481586042293332,0.571430584989733,0.28041081078093366,0.10440001612340528,0.972583607247807,0.9014843897192699,0.22544941247075426,0.027416392752192938,0.9014843897192699,4.645408587774408,0.8011559814107153,0.8269766498681909,114.50121402740479
foursquaretky,LightGCN,schulze,random_6,1.0,2.0507355209222773,0.02649961476008688,0.9227648643176358,0.10440001612340528,0.972583607247807,0.9014843897192699,0.22544941247075426,0.027416392752192938,0.9014843897192699,4.645408587774408,0.8011559814107153,0.8269766498681909,114.50740671157837
foursquaretky,LightGCN,schulze,random_7,1.0,0.13810763165655338,2.0278016753241497,0.8340906930192968,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,113.73339819908142
foursquaretky,LightGCN,schulze,random_8,1.0,1.559265890100384,0.4669447187392338,0.9737893911603821,0.10989834516558995,0.9695128191419571,0.8993152942936233,0.23104796677616235,0.03048718085804293,0.8993152942936233,4.526757345783733,0.8192436779003672,0.8295427610085094,114.31722164154053
foursquaretky,LightGCN,schulze,random_9,1.0,0.4946652525630196,2.226023352477561,0.2793113949594195,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,113.76807427406311
foursquaretky,LightGCN,schulze,random_10,1.0,1.0046075767116807,0.9492324344843563,1.0461599888039625,0.10385656157753698,0.9309674913446406,0.9060115349866397,0.24123632570811918,0.06903250865535937,0.9060115349866397,4.342686210382893,0.7232789064156598,0.8346556813146372,111.58776450157166
foursquaretky,LightGCN,schulze,random_11,1.0,0.2529773020437339,1.3754590490423104,1.3715636489139558,0.06814588235007399,0.9249492163613575,0.9697829903043093,0.15942022558397026,0.07505078363864252,0.9697829903043093,6.355470867007762,0.07115768944565332,0.7246723546155753,112.910715341568
foursquaretky,LightGCN,schulze,random_12,1.0,0.42363391369383885,2.3774948102180407,0.19887127608812077,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,114.0000069141388
foursquaretky,LightGCN,schulze,random_13,1.0,1.5625672418299346,0.552882134304649,0.8845506238654164,0.10989834516558995,0.9695128191419571,0.8993152942936233,0.23104796677616235,0.03048718085804293,0.8993152942936233,4.526757345783733,0.8192436779003672,0.8295427610085094,114.43885779380798
foursquaretky,LightGCN,schulze,random_14,1.0,0.5661103607806878,0.20518689703174256,2.22870274218757,0.07877306103279562,0.8745327170800211,0.8872801721076706,1.0,0.12546728291997888,0.8872801721076706,0.9025888131995982,0.4209547995422993,0.8160592427918015,113.97473502159119
foursquaretky,LightGCN,schulze,random_15,1.0,0.23133856964191712,0.29126505725666996,2.477396373101413,0.07877306103279562,0.8745327170800211,0.8872801721076706,1.0,0.12546728291997888,0.8872801721076706,0.9025888131995982,0.4209547995422993,0.8160592427918015,113.91700029373169
foursquaretky,LightGCN,schulze,random_16,1.0,0.9487369120310547,0.9004823638864461,1.1507807240824992,0.10281389736702813,0.9292852356801689,0.9060310613617216,0.24119472083407384,0.07071476431983119,0.9060310613617216,4.339568040408415,0.7229759351943005,0.8360693068563317,111.54762649536133
foursquaretky,LightGCN,schulze,random_17,1.0,1.8007594311731712,0.523384869111644,0.6758556997151848,0.108522844592612,0.9724164431110428,0.9013127034428541,0.22577285401854066,0.027583556888957174,0.9013127034428541,4.635332320324688,0.8055381260404987,0.8275168047346166,114.01877808570862
foursquaretky,LightGCN,schulze,random_18,1.0,1.3864468872419153,1.2834065387054405,0.3301465740526442,0.10505666871611123,0.9669754857536672,0.9053327261502092,0.23154657836414186,0.03302451424633278,0.9053327261502092,4.512863724602816,0.7274807993432924,0.8145503090569071,113.70874500274658
foursquaretky,LightGCN,schulze,random_19,1.0,0.850850586661415,1.6280391035284898,0.5211103098100951,0.08560471408432684,0.9346840112380919,0.9414944986165705,0.17473335165180914,0.06531598876190815,0.9414944986165705,5.859656321117392,0.3299422862874041,0.7914646218089779,111.676766872406
foursquaretky,LightGCN,schulze,random_20,1.0,2.2338144869183196,0.0914516587800896,0.6747338543015913,0.10440001612340528,0.972583607247807,0.9014843897192699,0.22544941247075426,0.027416392752192938,0.9014843897192699,4.645408587774408,0.8011559814107153,0.8269766498681909,113.44434666633606
foursquaretky,LightGCN,schulze,random_21,1.0,1.481883409085342,1.0461382382025834,0.47197835271207467,0.1050295432965414,0.9671087444582028,0.90494581789443,0.2323202183860243,0.03289125554179713,0.90494581789443,4.508068312279863,0.7303864479334703,0.815165418672595,113.8064227104187
foursquaretky,LightGCN,schulze,random_22,1.0,0.2193800590811564,2.634889428936235,0.14573051198260872,0.0656838145716007,0.922473575463475,0.9809349821453223,0.1448448289999897,0.07752642453652497,0.9809349821453223,7.1215482350989,0.04106323307224328,0.7032993608567973,113.77971029281616
